participant_id	session	genotype	virus	age	sex	Weight	Temperature	DOB	Surgery_date	Experiment_Date	run-1	run-2	run-3	run-4	
jgroptoAD100	1	C57BL/6	mCherry	3	M	30	36.3	2018-12-11	2019-04-01	2019-04-20	n/a	10	20	5	
jgroptoAD101	1	C57BL/6	mCherry	3	M	29.6	36.6	2018-12-11	2019-04-01	2019-04-20	n/a	5	10	20	
jgroptoAD102	1	C57BL/6	mCherry	3	M	28	36.1	2018-12-11	2019-04-01	2019-04-20	n/a	5	10	20	
jgroptoAD103	1	C57BL/6	mCherry	3	M	29.3	37	2018-12-11	2019-04-01	2019-04-20	n/a	20	10	5	
jgroptoAD105	1	C57BL/6	mCherry	3	M	29.2	36.5	2018-12-11	2019-04-01	2019-04-20	n/a	20	5	10	
jgroptoAD106	1	C57BL/6	mCherry	3	M	29	37.2	2018-12-11	2019-04-01	2019-04-20	n/a	20	10	5	
jgroptoAD107	1	C57BL/6	mCherry	3	M	28.6	36.1	2018-12-11	2019-04-01	2019-04-20	n/a	5	10	20	
jgroptoAD108	1	C57BL/6	mCherry	3	M	28.2	37.3	2018-12-11	2019-04-01	2019-04-20	n/a	20	5	10	
jgroptoAD109	1	C57BL/6	mCherry	3	M	29.5	37.6	2018-12-11	2019-04-01	2019-04-20	n/a	10	20	5	
jgroptoAD650	1	C57BL/6	ChR2-mCherry	3	M	27.3	36.3	2018-09-17	2018-11-22	2019-01-04	rest	20	5	10	
jgroptoAD653	2	C57BL/6	ChR2-mCherry	3	M	29	36.6	2018-09-17	2018-11-22	2019-01-06	rest	10	20	5	
jgroptoAD654	1	C57BL/6	ChR2-mCherry	3	M	28	36.1	2018-09-17	2018-11-22	2019-01-04	rest	20	5	10	
jgroptoAD655	1	C57BL/6	ChR2-mCherry	3	M	30	36.9	2018-09-20	2018-11-27	2019-01-09	rest	5	10	20	
jgroptoAD656	2	C57BL/6	ChR2-mCherry	3	M	28	36.4	2018-09-20	2018-11-27	2019-01-12	rest	10	20	5	
jgroptoAD657	2	C57BL/6	ChR2-mCherry	3	M	29	36.5	2018-09-20	2018-11-27	2019-01-12	rest	5	10	20	
jgroptoAD658	1	C57BL/6	ChR2-mCherry	3	M	29	36.8	2018-09-20	2018-11-27	2019-01-09	rest	5	10	20	
jgroptoAD659	2	C57BL/6	ChR2-mCherry	3	M	30.5	36.1	2018-09-16	2018-11-27	2019-01-15	rest	5	10	20	
jgroptoAD660	1	C57BL/6	ChR2-mCherry	3	M	30.1	34	2018-09-16	2018-11-27	2019-01-03	rest	10	20	5	
jgroptoAD661	1	C57BL/6	ChR2-mCherry	3	M	29.4	36.2	2018-10-06	2018-12-11	2019-01-15	rest	20	5	10	
jgroptoAD681	1	3xTG	ChR2-mCherry	3	M	29	36.7	2018-09-20	2018-11-22	2019-01-03	rest	5	10	20	
jgroptoAD682	4	3xTG	ChR2-mCherry	3	M	31.1	36.3	2018-09-20	2018-11-22	2019-01-06	rest	20	5	10	
jgroptoAD683	1	3xTG	ChR2-mCherry	3	M	31.3	36.4	2018-09-17	2018-11-22	2019-01-03	rest	5	10	20	
jgroptoAD684	2	3xTG	ChR2-mCherry	3	M	27.9	36.3	2018-09-25	2018-11-27	2019-01-12	rest	5	10	20	
jgroptoAD685	2	3xTG	ChR2-mCherry	3	M	29	36.6	2018-09-25	2018-11-27	2019-01-12	rest	10	20	5	
jgroptoAD686	1	3xTG	ChR2-mCherry	3	M	27.5	36.3	2018-09-25	2018-11-27	2019-01-08	rest	5	10	20	
jgroptoAD687	2	3xTG	ChR2-mCherry	3	M	28.3	36.8	2018-09-25	2018-11-27	2019-01-12	rest	20	5	10	
jgroptoAD688	1	3xTG	ChR2-mCherry	3	M	27.5	36	2018-09-25	2018-11-27	2019-01-08	rest	10	20	5	
jgroptoAD689	2	3xTG	ChR2-mCherry	3	M	29.4	36.2	2018-10-06	2018-12-11	2019-01-15	rest	5	10	20	
jgroptoAD690	1	3xTG	ChR2-mCherry	3	M	30.1	36.5	2018-10-06	2018-12-11	2019-01-14	rest	5	10	20	
jgroptoAD692	1	3xTG	ChR2-mCherry	3	M	28.3	36.2	2018-10-06	2018-12-11	2019-01-14	rest	20	5	10	
jgroptoAD693	1	3xTG	ChR2-mCherry	3	M	23.3	36.6	2018-10-05	2018-12-11	2019-01-14	rest	5	10	20	
jgroptoAD650	4	C57BL/6	ChR2-mCherry	6	M	29	36	2018-09-17	2018-11-22	2019-04-07	rest	20	5	10	
jgroptoAD653	4	C57BL/6	ChR2-mCherry	6	M	29.8	36.8	2018-09-17	2018-11-22	2019-04-08	rest	10	20	5	
jgroptoAD654	2	C57BL/6	ChR2-mCherry	6	M	30.1	36.1	2018-09-17	2018-11-22	2019-04-04	rest	5	10	20	
jgroptoAD655	2	C57BL/6	ChR2-mCherry	6	M	32.8	36.9	2018-09-20	2018-11-27	2019-04-04	rest	20	5	10	
jgroptoAD657	3	C57BL/6	ChR2-mCherry	6	M	35.7	36.5	2018-09-20	2018-11-27	2019-04-04	rest	5	10	20	
jgroptoAD659	4	C57BL/6	ChR2-mCherry	6	M	31	37	2018-09-16	2018-11-27	2019-04-04	rest	5	10	20	
jgroptoAD660	2	C57BL/6	ChR2-mCherry	6	M	30.1	37	2018-09-16	2018-11-27	2019-04-07	rest	10	20	5	
jgroptoAD661	3	C57BL/6	ChR2-mCherry	6	M	29.4	36.2	2018-10-06	2018-12-11	2019-04-15	rest	10	5	20	
jgroptoAD681	2	3xTG	ChR2-mCherry	6	M	35	36.3	2018-09-20	2018-11-22	2019-04-05	rest	10	20	5	
jgroptoAD682	2	3xTG	ChR2-mCherry	6	M	37.5	36.3	2018-09-20	2018-11-22	2019-04-05	rest	20	5	10	
jgroptoAD683	2	3xTG	ChR2-mCherry	6	M	36	36.1	2018-09-17	2018-11-22	2019-04-05	rest	5	10	20	
jgroptoAD685	3	3xTG	ChR2-mCherry	6	M	34	36	2018-09-25	2018-11-27	2019-04-06	rest	10	20	5	
jgroptoAD686	2	3xTG	ChR2-mCherry	6	M	31.4	36.3	2018-09-25	2018-11-27	2019-04-06	rest	5	10	20	
jgroptoAD687	3	3xTG	ChR2-mCherry	6	M	31	37	2018-09-25	2018-11-27	2019-04-06	rest	20	5	10	
jgroptoAD689	3	3xTG	ChR2-mCherry	6	M	32.8	37	2018-10-06	2018-12-11	2019-04-15	rest	5	10	20	
jgroptoAD690	2	3xTG	ChR2-mCherry	6	M	30.1	36.5	2018-10-06	2018-12-11	2019-04-15	rest	20	10	5	
jgroptoAD692	3	3xTG	ChR2-mCherry	6	M	30	36.2	2018-10-06	2018-12-11	2019-01-14	rest	10	20	5	
jgroptoAD693	2	3xTG	ChR2-mCherry	6	M	29	37	2018-10-05	2018-12-11	2019-04-15	rest	10	5	20	
